IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
34024;Adam;Jonas;SVK;237;6048;5;1209.6;
18699;Pau;Llorens Caellas;ESP;238;6046;5;1209.2;
21383;Markus;Rasanen;FIN;238;6046;5;1209.2;
7426;Mate;Baumholczer;HUN;240;6045;5;1209.0;
33818;Gustav;Wiren Gonzalez;ESP;241;6040;5;1208.0;
36948;Oliwer;Lundberg;SWE;242;6039;5;1207.8;
36308;Marius;Pytten;NOR;242;6039;5;1207.8;
16391;Anton;Sjokvist;SWE;242;6039;5;1207.8;
12543;Nathan;Lawson;GBR;245;6038;5;1207.6;
37519;Matti;Suutari;FIN;246;6037;5;1207.4;
25197;Colin;Kolbe;GER;247;6031;5;1206.2;
33985;Janis;Hutzli;SUI;248;6030;5;1206.0;
34905;Axel;Pannier;FRA;249;6027;5;1205.4;
36343;Viktor;Skoog;SWE;250;6025;5;1205.0;
40373;Jesper;Sjoblom;SWE;251;6024;5;1204.8;
17027;Olli Markus;Taivainen;FIN;252;6023;5;1204.6;
33353;Zoltan;Bujdoso;HUN;253;6022;5;1204.4;
37625;Isaac;Hernandez Pindado;ESP;254;6019;5;1203.8;
22246;Andreas Bock;Bjoernsen;DEN;255;6017;5;1203.4;
27231;Simon;Harden;SWE;256;6011;5;1202.2;
33650;David;Rojas;ESP;257;6009;5;1201.8;
33576;Matiss;Saulite;LAT;258;6008;5;1201.6;
7719;Alexandru;Blejdea;ROU;258;6008;5;1201.6;
26994;Andrin;Bieri;SUI;260;6006;5;1201.2;
14375;Kent;Ohlsson;SWE;261;6004;5;1200.8;
15837;Oskar;Sandberg;SWE;262;6003;5;1200.6;
10555;Samuel;Heinonen;FIN;263;5999;5;1199.8;
37224;Jonny;Donner;FIN;263;5999;5;1199.8;
9141;Bjorn Fjeldbo;Ekeberg;NOR;265;5997;5;1199.4;
27887;Rico Hejlskov;Mogensen;DEN;266;5995;5;1199.0;
17043;Uku Laur;Tali;EST;267;5993;5;1198.6;
10320;Daniel;Hajek;CZE;267;5993;5;1198.6;
33903;Nathan;Marchand;FRA;269;5989;5;1197.8;
24006;Pauli;Leinonen;FIN;270;5986;5;1197.2;
7473;Vytautas;Beliunas;LTU;270;5986;5;1197.2;
21630;Patrick;Jaffe;AUS;270;5986;5;1197.2;
34161;Lukas;Novak;AUT;273;5983;5;1196.6;
19348;Ludvig;Eriksson;SWE;274;5982;5;1196.4;
24499;Angus;Haines;AUS;274;5982;5;1196.4;
17244;Anders Tiltnes;Brokstad;NOR;276;5979;5;1195.8;
35522;Viktor;Wassen;SWE;277;5978;5;1195.6;
16342;Otto;Simosas;FIN;277;5978;5;1195.6;
33238;Matthew;Gooch;GBR;279;5974;5;1194.8;
16491;Chris;Smithard;GBR;280;5971;5;1194.2;
33020;Oskari;Silvennoinen;FIN;281;5970;5;1194.0;
33722;Aarni;Ronkainen;FIN;281;5970;5;1194.0;
25378;Mads;Skaug;DEN;283;5968;5;1193.6;
12769;Olai;Stensland Lillevold;NOR;284;5966;5;1193.2;
8831;Magnus;Dewett;DEN;285;5965;5;1193.0;
17804;Anders;Vister;NOR;286;5964;5;1192.8;
7114;Johan;Aronsson;SWE;287;5963;5;1192.6;
7286;Aron;Bako;HUN;287;5963;5;1192.6;
33023;Justus;Vuori;FIN;289;5960;5;1192.0;
21895;Fryderyk;Pryjma;POL;290;5959;5;1191.8;
18925;Corentin;Roux;FRA;291;5956;5;1191.2;
37841;Ondrej;Metelka;CZE;292;5954;5;1190.8;
34007;Damiano;Bettega;ITA;292;5954;5;1190.8;
40534;Clemens;Oxnevad;NOR;294;5953;5;1190.6;
31873;Arvid;Nord;SWE;295;5952;5;1190.4;
19057;Rasmus;Palmqvist Aslaksen;SWE;295;5952;5;1190.4;
37729;Cornelius;Bjork;NOR;297;5950;5;1190.0;
38481;Florian;Moser;SUI;297;5950;5;1190.0;
41233;Jeppe;Edvardsen;DEN;299;5949;5;1189.8;
20081;Vasili;Fomiciov;MDA;299;5949;5;1189.8;
11501;Robbin;Kantarp;SWE;301;5947;5;1189.4;
7134;Philipp;von Arx;SUI;302;5946;5;1189.2;
16366;Mikko;Siren;FIN;303;5945;5;1189.0;
42022;Santeri;Kirjavainen;FIN;304;5944;5;1188.8;
7065;Aleksi;Anttolainen;FIN;305;5941;5;1188.2;
18151;Joe;Woodley;GBR;306;5940;5;1188.0;
